X,y
597,597
084,84
3,3
7,7
746,746
932,932
4,4
421,421
477,477
107,107
780,780
40,40
9,9
523,523
1,1
998,998
81,81
39,39
9,9
1,1
98,98
1,1
7,7
42,42
995,995
82,82
5,5
39,39
32,32
087,87
735,735
073,73
554,554
37,37
0,0
110,110
13,13
417,417
403,403
21,21
5,5
033,33
20,20
05,5
2,2
33,33
428,428
80,80
0,0
5,5
13,13
30,30
303,303
42,42
40,40
95,95
33,33
56,56
19,19
2,2
7,7
0,0
5,5
3,3
39,39
162,162
713,713
165,165
88,88
33,33
50,50
956,956
1,1
2,2
2,2
4,4
60,60
2,2
68,68
58,58
139,139
11,11
06,6
763,763
21,21
7,7
946,946
37,37
467,467
650,650
871,871
47,47
54,54
403,403
51,51
464,464
43,43
4,4
56,56
32,32
5,5
87,87
34,34
4,4
4,4
7,7
404,404
00,0
1,1
48,48
064,64
4,4
46,46
19,19
74,74
202,202
9,9
817,817
69,69
617,617
7,7
3,3
8,8
6,6
37,37
387,387
8,8
4,4
82,82
60,60
2,2
2,2
94,94
42,42
1,1
69,69
99,99
547,547
279,279
2,2
481,481
03,3
8,8
7,7
12,12
254,254
1,1
984,984
09,9
181,181
809,809
722,722
270,270
048,48
0,0
8,8
90,90
328,328
321,321
206,206
317,317
4,4
992,992
85,85
121,121
48,48
1,1
74,74
204,204
557,557
51,51
85,85
329,329
56,56
916,916
255,255
97,97
27,27
623,623
41,41
17,17
903,903
45,45
6,6
03,3
3,3
326,326
42,42
6,6
052,52
00,0
118,118
3,3
67,67
221,221
3,3
71,71
3,3
6,6
63,63
4,4
8,8
4,4
049,49
330,330
563,563
98,98
8,8
4,4
72,72
2,2
461,461
5,5
9,9
88,88
66,66
275,275
95,95
926,926
19,19
1,1
8,8
50,50
424,424
004,4
384,384
048,48
02,2
443,443
796,796
99,99
203,203
43,43
5,5
6,6
454,454
3,3
1,1
91,91
0,0
67,67
365,365
46,46
77,77
185,185
04,4
8,8
891,891
21,21
621,621
885,885
0,0
32,32
6,6
7,7
84,84
40,40
45,45
639,639
476,476
434,434
65,65
353,353
5,5
3,3
684,684
2,2
8,8
93,93
5,5
09,9
174,174
439,439
12,12
0,0
648,648
88,88
4,4
1,1
64,64
17,17
91,91
19,19
6,6
188,188
1,1
24,24
5,5
09,9
4,4
540,540
85,85
5,5
08,8
664,664
4,4
32,32
951,951
249,249
7,7
013,13
218,218
5,5
33,33
335,335
0,0
601,601
716,716
649,649
3,3
7,7
849,849
34,34
9,9
9,9
29,29
924,924
4,4
8,8
6,6
6,6
39,39
62,62
857,857
6,6
18,18
8,8
38,38
82,82
6,6
5,5
796,796
740,740
96,96
691,691
9,9
160,160
5,5
2,2
48,48
848,848
831,831
008,8
64,64
0,0
645,645
2,2
8,8
144,144
259,259
4,4
24,24
089,89
75,75
8,8
7,7
5,5
2,2
6,6
4,4
76,76
64,64
33,33
715,715
15,15
882,882
83,83
43,43
892,892
8,8
6,6
84,84
2,2
91,91
011,11
65,65
1,1
3,3
3,3
6,6
4,4
0,0
74,74
1,1
05,5
57,57
117,117
8,8
42,42
69,69
9,9
891,891
44,44
5,5
596,596
73,73
39,39
95,95
0,0
74,74
5,5
55,55
82,82
3,3
31,31
601,601
9,9
528,528
071,71
6,6
9,9
274,274
8,8
7,7
055,55
391,391
0,0
568,568
8,8
87,87
297,297
908,908
43,43
28,28
99,99
0,0
76,76
998,998
07,7
4,4
9,9
869,869
44,44
437,437
58,58
3,3
22,22
76,76
7,7
36,36
4,4
97,97
16,16
17,17
833,833
80,80
7,7
99,99
3,3
63,63
1,1
0,0
4,4
311,311
660,660
7,7
5,5
34,34
7,7
15,15
063,63
3,3
16,16
41,41
05,5
373,373
9,9
4,4
48,48
235,235
11,11
23,23
3,3
1,1
494,494
00,0
890,890
647,647
3,3
9,9
547,547
90,90
75,75
14,14
54,54
025,25
98,98
0,0
063,63
16,16
835,835
8,8
07,7
72,72
516,516
958,958
3,3
7,7
67,67
43,43
3,3
8,8
8,8
140,140
70,70
95,95
55,55
603,603
36,36
4,4
3,3
153,153
038,38
07,7
585,585
43,43
94,94
04,4
0,0
92,92
978,978
8,8
57,57
40,40
5,5
84,84
613,613
9,9
74,74
99,99
0,0
26,26
3,3
439,439
990,990
8,8
11,11
204,204
33,33
33,33
8,8
18,18
9,9
8,8
406,406
772,772
2,2
1,1
20,20
04,4
321,321
449,449
644,644
270,270
093,93
145,145
440,440
44,44
366,366
822,822
364,364
57,57
5,5
978,978
48,48
3,3
23,23
507,507
910,910
945,945
309,309
63,63
805,805
65,65
8,8
