X,y
4,4
23,23
00,0
2,2
91,91
8087,8087
6012,6012
6,6
1,1
066,66
685,685
1412,1412
83,83
43,43
74,74
697,697
808,808
7040,7040
94,94
87,87
3091,3091
1,1
8261,8261
1990,1990
85,85
227,227
0,0
5,5
557,557
3,3
23,23
307,307
8,8
72,72
5826,5826
42,42
2,2
52,52
106,106
764,764
0,0
75,75
3840,3840
8,8
2,2
5782,5782
0,0
08,8
4,4
04,4
750,750
3070,3070
2841,2841
38,38
0251,251
881,881
9,9
2,2
1,1
300,300
40,40
7,7
2971,2971
0,0
22,22
35,35
30,30
5,5
6,6
9,9
348,348
2882,2882
52,52
651,651
6200,6200
5359,5359
7927,7927
5,5
9,9
5955,5955
8333,8333
04,4
14,14
2,2
0,0
556,556
6797,6797
3,3
3088,3088
07,7
4,4
2593,2593
3925,3925
735,735
430,430
5689,5689
112,112
3,3
3971,3971
47,47
35,35
11,11
93,93
73,73
4,4
0656,656
069,69
0992,992
806,806
405,405
14,14
082,82
8325,8325
3934,3934
6066,6066
6448,6448
258,258
22,22
5710,5710
6,6
456,456
1,1
354,354
8867,8867
98,98
9,9
84,84
2001,2001
2,2
583,583
8091,8091
95,95
416,416
69,69
7918,7918
052,52
612,612
9821,9821
2,2
4766,4766
9235,9235
163,163
22,22
35,35
4192,4192
1352,1352
0293,293
85,85
7,7
296,296
1033,1033
554,554
840,840
833,833
9595,9595
588,588
838,838
4541,4541
370,370
761,761
7038,7038
6,6
196,196
2859,2859
5,5
7770,7770
0,0
9,9
823,823
820,820
4290,4290
8546,8546
6346,6346
0,0
16,16
3,3
7316,7316
14,14
66,66
24,24
66,66
700,700
609,609
7294,7294
8,8
83,83
9,9
455,455
0999,999
33,33
643,643
1,1
9,9
77,77
8283,8283
604,604
424,424
54,54
293,293
22,22
124,124
912,912
8,8
603,603
4,4
123,123
5391,5391
4128,4128
354,354
8334,8334
75,75
7,7
141,141
9350,9350
4,4
03,3
36,36
1620,1620
6549,6549
857,857
244,244
9,9
517,517
3440,3440
7,7
8090,8090
8,8
4005,4005
3742,3742
18,18
77,77
7,7
757,757
11,11
9741,9741
44,44
391,391
03,3
87,87
2517,2517
86,86
7493,7493
57,57
84,84
0,0
3,3
93,93
86,86
41,41
2,2
147,147
2,2
5748,5748
799,799
18,18
4,4
280,280
825,825
90,90
215,215
